"ability","8713715 8702475 8671835 8715398 8713721 8573508 8693775 8713747 8573628 8676984 8692114 8709986 8709278 8689700 8689121 8714566 8713582 8713843 8710431 8644301 8713729 8687609 8677353 8678354 8688484 8664272 8689584 8671815 8713002 8688027 8674180 8690109 8708457 8685484 8714681 8689119 8709562 8673518 8688759 8708033 8710620 8678315 8706128 8685537 8689667 8677627 8689277 8712302 8714216 8644375 8690278 8693495 8709418 8675628 8708401 8676096 8667216 8692851 8713804 8675096 8716221 8674464 8676458 8575037 8708034 8715860 8675247 8670028 8707029 8715403 8712286 8690826 8715179 8693983 8710893 8714633 8709157 8692165 8693194 8673683 8709794 8689224 8711907 8713360 8665631 8688544 8641522 8715022 8668705 8693363 8672604 8678499 8713832 8710226 8714691 8672284 8674846 8689445 8644994 8689492 8677938 8687679 8671770 8712326 8691661 8682820 8690634 4625466 8675295 8691655 8713903 8675379 8687795 8710852 8685437 8691959 8714666 8713714 8708366 8642583 8715625 8714172"
"able","8674653 8678505 8678151 8715398 8711807 8689265 8573508 8705117 8678107 8689354 8686460 8707398 8715050 8672226 8713834 8687065 8685509 8674608 8697553 8694241 8715893 8675270 8692114 8712287 8703078 8693897 8689700 8714566 8693645 8710431 8644301 8692896 8716434 8686370 8690259 8676177 8688484 8664272 8693780 8671815 8676968 8713234 8666536 8676578 8554496 8671063 8675949 8710109 8664104 8677906 8710553 8713738 8713038 8712487 8688549 8693209 8672749 8714440 8685484 8708970 8710455 8708954 8705745 8677461 8669124 8709562 8673518 8714555 8713154 8714773 8697283 8710620 8676241 8709858 8712799 8675100 8703814 8548126 8678315 8693384 8706128 8712469 8708147 8689667 8689277 8714216 8713547 8673214 8691650 8691113 8693183 8673936 8709418 8708647 8708401 8710008 8674455 8686689 8710358 8693189 8692851 8711063 8675096 8688656 8674776 8716221 8674464 8705951 8674694 8676458 8575037 8675247 8713076 8709959 8675567 8715268 8715403 8715987 8669550 8690826 8675950 8685418 8715179 8669517 8714374 8713848 8689452 8668842 8709157 8711919 8712911 8708389 8692165 8707350 8673683 8713034 8709493 8708665 8711907 8681935 8680868 8687873 8703047 8665631 8688544 8687804 8687969 8687666 8705965 8714756 8688025 8668705 8693363 8673995 8715640 8710364 8714804 8714691 8672284 8708658 8674846 8714158 8687365 8688930 8709540 8644994 8686652 8688046 8689920 8706827 8677938 8687679 8693126 8683578 8671770 8711029 8646487 8674836 8715453 8685385 8691661 8695635 8712275 8678735 8675295 8713667 8702278 8705432 8691655 8670985 8675379 8713124 8687795 8692725 8686343 8691959 8671757 8706413 8714666 8687821 8690163 8677023 8667932 8708808 8688863 8639953 8714751 8692212 8708366 8689916 8642583 8675079 8688654 8712225"
"abnormal","8708970 8708665"
"abnormality","8688549"
"about","8685509 8676633 8714566 8693645 8686370 8713234 8554496 8713738 8673518 8708033 8676241 8685537 8716180 8691650 8690278 8709418 8674621 8708716 8708034 8673042 8709157 8692165 8713931 8713034 8689224 8688544 8715640 8665102 8710226 8714728 8687365 8709540 8644994 8711844 8691655 8713124 8714589 8714666 8677023 8672259 8642583 8643677 8688654"
"above","8711129 8713483 8689265 8573508 8693084 8688791 8709757 8672226 8709278 8689121 8713521 8713729 8711798 8671063 8664104 8713738 8711202 8689119 8644375 8708401 8686689 8710358 8712578 8670028 8707029 8683153 8713848 8712911 8693194 8709794 8709493 8672604 8689920 8693094 8691655 8715751"
"abreast","8689121 8674606 8713714"
"absence","8690682"
"absences","8692701 8644375"
"absent","8692701"
